login,repo,path,status,depth,jvm_fit,category,lines,notes,reasoning,first_seen,last_seen
victorrentea,performance-profiling,.claude/skills/jfr-analyzer/SKILL.md,found,2,high,tool,140,"Victor Rentea's jfr-analyzer skill provides concrete, opinionated guidance on analyzing Java Flight Recorder (.jfr) data using JDK's native jfr CLI tool. Covers tool usage (summary, print, metadata), JSON parsing, ISO 8601 duration handling, and a structured multi-step analysis workflow (lock contention, GC events, etc.) with practical examples. Strong JVM fit: JFR is core JVM infrastructure. ~140 lines, moderate depth—not entry-level but not exhaustive.",,2026-06-27,2026-06-28
glaforge,gemini-interactions-api-sdk,skills/gemini-interactions-java-api/SKILL.md,found,2,high,framework,246,"Comprehensive guide to Gemini Interactions API Java SDK; teaches client initialization, authentication (Google AI Studio and Vertex AI), multi-turn conversations, multimodal image generation, stateful interactions with serverside persistence. Practical examples for core SDK usage patterns.","Real JVM skill (246 lines, depth 2) teaching substantive Gemini API patterns for Java developers. High jvm_fit: uses Google Gemini Java SDK, Records, and Java-specific patterns. Authored by glaforge, in a dedicated SDK repository (canonical skill location). Concrete opinionated guidance on API usage, not generic workflow.",2026-06-27,2026-06-28
glaforge,java-stdio-mcp-server,SKILL.md,found,1,med,tool,111,"Scaffolds Java-based MCP STDIO servers using JBang and LangChain4j. Teaches template-based MCP server setup, logging configuration (stderr routing), dependency management via JBang //DEPS directives. Single-skill reusability: how to bootstrap an MCP server in Java quickly.","Real JVM skill (111 lines, depth 1) teaching MCP server scaffolding with JBang/LangChain4j. Medium jvm_fit: uses JBang (JVM tooling) and LangChain4j but MCP is not narrowly JVM. Opinionated, concrete guidance on bootstrap patterns. Authored by glaforge in dedicated repo.",2026-06-27,2026-06-28
AdamBien,airails,bce/java-cli-app/SKILL.md,found,2,high,framework,68,Teaches Java 25 CLI architecture with BCE layering and multi-file structure,"JVM-focused skill teaching multi-file Java 25 CLI application architecture using BCE layering, package structure, and zb builder integration. Concrete, transferable guidance for Java CLI projects with depth and specificity.",2026-06-27,2026-06-28
AdamBien,airails,bce/microprofile-server/SKILL.md,found,2,high,framework,100,Comprehensive JVM server architecture for MicroProfile/Jakarta EE with BCE,"Essential JVM-focused skill for MicroProfile/Jakarta EE server applications. Teaches BCE layering specific to JAX-RS resources, CDI, JSON-P, exception mapping, and testing patterns. Strong signal for enterprise Java development.",2026-06-27,2026-06-28
AdamBien,airails,java/java-cli-script/SKILL.md,found,2,high,tool,163,Teaches zero-dependency Java 25 single-file scripts with shebang execution,"JVM-focused skill teaching zero-dependency single-file Java CLI scripts via shebang and PATH installation. Practical, specific guidance for modern Java 25 scripting patterns without build tools.",2026-06-27,2026-06-28
AdamBien,airails,java/java-conventions/SKILL.md,found,2,high,language,152,"Comprehensive Java 25 code style, syntax, and conventions","Essential JVM-focused skill teaching modern Java 25 language conventions: var, records, sealed types, pattern matching, modules, visibility, methods, streams, exceptions. Foundational for idiomatic Java development across projects.",2026-06-27,2026-06-28
AdamBien,airails,java/java-distiller/SKILL.md,found,2,high,tool,64,Java code modernization and refactoring guidance with transformation priorities,"JVM-focused skill teaching Java code transformation: modernize syntax, upgrade APIs, adopt patterns, functional style, concurrency. Practical guidance for upgrading legacy Java to modern idioms with prioritized approach.",2026-06-27,2026-06-28
AdamBien,airails,java/python-to-java/SKILL.md,needs_review,1,high,tool,40,"Migration guidance from Python to Java; main content brief, references external idiom mapping",JVM-focused migration skill for Python-to-Java conversion with decision logic for single-file vs multi-file projects. Real but thin guidance (40 lines) relying on external reference files for complete idiom mapping. Borderline depth.,2026-06-27,2026-06-28
AdamBien,airails,java/zargs/SKILL.md,found,2,high,tool,149,Zero-dependency enum-based argument parsing pattern for Java CLI apps,"JVM-focused skill teaching zargs pattern — practical enum-based argument parsing without external dependencies. Detailed guidance on implementation, matching, and usage generation for Java CLI applications.",2026-06-27,2026-06-28
AdamBien,airails,java/zb-release-pipeline/SKILL.md,found,2,med,build,117,GitHub Actions pipeline for zb Java project builds and releases,"JVM-focused skill bridging CI/CD and Java build systems. Teaches GitHub Actions pipeline generation specific to zb projects (zero-dependency Java builder). Medium JVM fit due to GitHub Actions generality, but zb context anchors it to Java ecosystem.",2026-06-27,2026-06-28
AdamBien,airails,java/zb/AGENTS.md,found,1,high,build,52,Practical guidance on using zb zero-dependency Java builder,"JVM-focused practical guidance on using zb to build Java 21+ projects without Maven/Gradle. Source detection, configuration, and output reference. Lightweight but directly useful for zb-based Java projects.",2026-06-27,2026-06-28
AdamBien,airails,java/zb/SKILL.md,found,2,high,build,120,Comprehensive guidance on zb zero-dependency Java compiler/packager,"JVM-focused skill teaching zb Java build system: locating zb.sh/jar, finding build directories in multi-module projects, running builds, checking results. Practical and detailed for Java developers using zero-dependency builds.",2026-06-27,2026-06-28
AdamBien,airails,java/zcfg/SKILL.md,found,2,high,tool,196,Zero-dependency Java configuration management with zcfg utility,"JVM-focused skill teaching zcfg source integration for type-safe configuration loading from properties files. Detailed practical guidance for configuration management in zero-dependency Java projects, with source copy integration instructions.",2026-06-27,2026-06-28
AdamBien,airails,java/zcl/SKILL.md,found,2,high,tool,151,Zero-dependency colored terminal logging for Java CLI applications,JVM-focused skill teaching zcl (colored logger) for Java CLI apps using Solarized Dark ANSI 24-bit colors. Practical guidance for visually rich logging in zero-dependency Java projects via source integration.,2026-06-27,2026-06-28
AdamBien,airails,java/zjson/SKILL.md,found,2,high,tool,126,Zero-dependency JSON handling via org.json source copy,"Concrete JSON handling skill (126 lines) with practical integration patterns (copy method, API guide, typed accessors). High JVM fit — targets Java JSON parsing without external dependencies. Authored by Adam Bien in airails (28 stars).",2026-06-27,2026-06-28
AdamBien,airails,java/zunit/SKILL.md,found,2,high,testing,142,Zero-dependency test runner for java-cli-app projects,"Comprehensive test-running skill (142 lines) covering test file structure, discovery, assertions without test frameworks, and concurrent execution. High JVM fit — zero-dependency Java testing approach. Authored by Adam Bien in airails (28 stars).",2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/add-observability/SKILL.md,found,3,high,framework/observability,116,,"Teaches OpenTelemetry integration for Koog agents with vendor backend choices (Langfuse, Weave, Datadog, OTLP). Substantive 116-line guidance on JVM observability patterns. Koog is a JVM framework; skill teaches framework-specific observability integration.",2026-06-27,2026-06-28
jbaruch,koog-tessl,skills/add-persistence/SKILL.md,found,2,high,framework,84,,"Teaches checkpoint-and-resume patterns for Koog agents, including runFromCheckpoint and Persistence feature install. Solid 84-line guidance on JVM agent durability patterns specific to Koog 1.0 framework.",2026-06-27,2026-06-28
